,to_run
0,3642
1,47217
2,68937
3,86028
4,86030
5,86031
6,86032
7,86033
8,86034
9,86035
10,86036
11,86037
12,86038
13,86039
14,86040
15,86041
16,86042
17,86043
18,86044
19,86045
20,86046
21,86047
22,86048
23,86049
24,86050
25,86051
26,86052
27,86053
28,86054
29,86055
30,86056
31,86057
32,86058
33,86059
34,86060
35,86061
36,86062
37,86063
38,86064
39,86065
40,86066
41,86067
42,86068
43,86069
44,86070
45,86071
46,86072
47,86073
48,86074
49,86075
50,86076
51,86077
52,86078
53,86079
54,86080
55,86081
56,86082
57,86083
58,86084
59,86085
60,86086
61,86087
62,86088
63,86089
64,86090
65,86091
66,86092
67,86093
68,86094
69,86095
70,86096
71,86097
72,86098
73,86099
74,86100
75,86101
76,86102
77,86103
78,86104
79,86105
80,86106
81,86107
82,86108
83,86109
84,86110
85,86111
86,86112
87,86113
88,86114
89,86115
90,86116
91,86117
92,86118
93,86119
94,86120
95,86121
96,86122
97,86123
98,86124
99,86125
100,86126
101,86127
102,86128
103,86129
104,86130
105,86131
106,86132
107,86133
108,86134
109,86135
110,86136
111,86137
112,86138
113,86139
114,86140
115,86141
116,86142
117,86143
118,86144
119,86145
120,86146
121,86147
122,86148
123,86149
124,86150
125,86151
126,86152
127,86153
128,86154
129,86155
130,86156
131,86157
132,86158
133,86159
134,86160
135,86161
136,86162
137,86163
138,86164
139,86165
140,86166
141,86167
142,86168
143,86169
144,86170
145,86171
146,86172
147,86173
148,86174
149,86175
150,86176
151,86177
152,86178
153,86179
154,86180
155,86181
156,86182
157,86183
158,86184
159,86185
160,86186
161,86187
162,86188
163,86189
164,86190
165,86191
166,86192
167,86193
168,86194
169,86195
170,86196
171,86197
172,86198
173,86199
174,86200
175,86201
176,86202
177,86203
178,86204
179,86205
180,86206
181,86207
182,86208
183,86209
184,86210
185,86211
186,86212
187,86213
188,86214
189,86215
190,86216
191,86217
192,86218
193,86219
194,86220
195,86221
196,86222
197,86223
198,86224
199,86225
200,86226
201,86227
202,86228
203,86229
204,86230
205,86231
206,86232
207,86233
208,86234
209,86235
210,86236
211,86237
212,86238
213,86239
214,86240
215,86241
216,86242
217,86243
218,86244
219,86245
220,86246
221,86247
222,86248
223,86249
224,86250
225,86251
226,86252
227,86253
228,86254
229,86255
230,86256
231,86257
232,86258
233,86259
234,86260
235,86261
