,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,0,0.001,3.2,3.2,2022,23032022_W01_AVEp0_VEp0_0
0,1,0.001,3.2,3.2,2023,23032022_W01_AVEp0_VEp0_1
0,2,0.001,3.2,3.2,2024,23032022_W01_AVEp0_VEp0_2
0,3,0.001,3.2,3.2,2025,23032022_W01_AVEp0_VEp0_3
0,4,0.001,3.2,3.2,2026,23032022_W01_AVEp0_VEp0_4
0,5,0.001,3.2,3.2,2027,23032022_W01_AVEp0_VEp0_5
0,6,0.001,3.2,3.290909090909091,2022,23032022_W01_AVEp0_VEp0_6
0,7,0.001,3.2,3.290909090909091,2023,23032022_W01_AVEp0_VEp0_7
0,8,0.001,3.2,3.290909090909091,2024,23032022_W01_AVEp0_VEp0_8
0,9,0.001,3.2,3.290909090909091,2025,23032022_W01_AVEp0_VEp0_9
0,10,0.001,3.2,3.290909090909091,2026,23032022_W01_AVEp0_VEp0_10
0,11,0.001,3.2,3.290909090909091,2027,23032022_W01_AVEp0_VEp0_11
0,12,0.001,3.2,3.381818181818182,2022,23032022_W01_AVEp0_VEp0_12
0,13,0.001,3.2,3.381818181818182,2023,23032022_W01_AVEp0_VEp0_13
0,14,0.001,3.2,3.381818181818182,2024,23032022_W01_AVEp0_VEp0_14
0,15,0.001,3.2,3.381818181818182,2025,23032022_W01_AVEp0_VEp0_15
0,16,0.001,3.2,3.381818181818182,2026,23032022_W01_AVEp0_VEp0_16
0,17,0.001,3.2,3.381818181818182,2027,23032022_W01_AVEp0_VEp0_17
0,18,0.001,3.2,3.4727272727272727,2022,23032022_W01_AVEp0_VEp0_18
0,19,0.001,3.2,3.4727272727272727,2023,23032022_W01_AVEp0_VEp0_19
0,20,0.001,3.2,3.4727272727272727,2024,23032022_W01_AVEp0_VEp0_20
0,21,0.001,3.2,3.4727272727272727,2025,23032022_W01_AVEp0_VEp0_21
0,22,0.001,3.2,3.4727272727272727,2026,23032022_W01_AVEp0_VEp0_22
0,23,0.001,3.2,3.4727272727272727,2027,23032022_W01_AVEp0_VEp0_23
0,24,0.001,3.2,3.563636363636364,2022,23032022_W01_AVEp0_VEp0_24
0,25,0.001,3.2,3.563636363636364,2023,23032022_W01_AVEp0_VEp0_25
0,26,0.001,3.2,3.563636363636364,2024,23032022_W01_AVEp0_VEp0_26
0,27,0.001,3.2,3.563636363636364,2025,23032022_W01_AVEp0_VEp0_27
0,28,0.001,3.2,3.563636363636364,2026,23032022_W01_AVEp0_VEp0_28
0,29,0.001,3.2,3.563636363636364,2027,23032022_W01_AVEp0_VEp0_29
0,30,0.001,3.2,3.6545454545454548,2022,23032022_W01_AVEp0_VEp0_30
0,31,0.001,3.2,3.6545454545454548,2023,23032022_W01_AVEp0_VEp0_31
0,32,0.001,3.2,3.6545454545454548,2024,23032022_W01_AVEp0_VEp0_32
0,33,0.001,3.2,3.6545454545454548,2025,23032022_W01_AVEp0_VEp0_33
0,34,0.001,3.2,3.6545454545454548,2026,23032022_W01_AVEp0_VEp0_34
0,35,0.001,3.2,3.6545454545454548,2027,23032022_W01_AVEp0_VEp0_35
0,36,0.001,3.2,3.7454545454545456,2022,23032022_W01_AVEp0_VEp0_36
0,37,0.001,3.2,3.7454545454545456,2023,23032022_W01_AVEp0_VEp0_37
0,38,0.001,3.2,3.7454545454545456,2024,23032022_W01_AVEp0_VEp0_38
0,39,0.001,3.2,3.7454545454545456,2025,23032022_W01_AVEp0_VEp0_39
